batch_size,epochs,fl_filter,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
16,48,8,2,0.786566444275054,5,0.0007054915017988602,12,0.8341339230537415,0.5850290656089783,0.5850290656089783,0.5850290656089783,0.7883251905441284
64,41,32,3,0.7171160695853018,3,0.000552084870778387,15,0.794975757598877,0.586309552192688,0.586309552192688,0.586309552192688,0.8001037836074829
64,28,64,2,0.6067047846506437,2,0.00044761056454863276,8,0.49435147643089294,0.8117559552192688,0.8150376081466675,0.8065476417541504,0.9352773427963257
8,20,32,2,0.49088510641158123,2,0.0005009609447506827,8,0.6194733381271362,0.7536337375640869,0.7587230801582336,0.742732584476471,0.9057163596153259
16,28,32,2,0.5436299970843748,3,0.00032441884678593384,13,0.5912848711013794,0.7594476938247681,0.7768405079841614,0.7361918687820435,0.9076841473579407
8,21,64,3,0.34837310854873377,4,0.0005003367650675703,17,0.6104570627212524,0.7507267594337463,0.7577548027038574,0.7456395626068115,0.9047898054122925
64,41,16,1,0.3889825394926035,2,0.0006082171102553826,12,0.41434645652770996,0.8407738208770752,0.8479576110839844,0.8340773582458496,0.956360936164856
16,13,8,3,0.7182372483418715,2,0.0004104398226091298,19,0.7841993570327759,0.586482584476471,0.5858806371688843,0.5850290656089783,0.7974604368209839
8,19,64,3,0.5473280115514524,2,0.0006063125222929339,8,0.8303235769271851,0.5850290656089783,0.5850290656089783,0.5850290656089783,0.7768895030021667
16,40,8,1,0.7205941162003304,4,0.0007420194188670878,19,0.5932126045227051,0.7856104373931885,0.7894737124443054,0.7848837375640869,0.9185236096382141
32,40,16,1,0.20298696088590107,3,0.00019191650611214726,5,0.4740993082523346,0.8168604373931885,0.8180484175682068,0.8103197813034058,0.9437094926834106
32,38,16,1,0.20060701013545007,3,0.00019010649208529065,6,0.383159339427948,0.8648256063461304,0.8728624582290649,0.8531976938247681,0.9600037336349487
32,34,16,1,0.2145933256730942,3,0.00018157694829673248,11,0.4086308479309082,0.8524709343910217,0.858192503452301,0.8488371968269348,0.9564909338951111
32,34,16,1,0.21374478297764662,4,0.00014543715921429458,5,0.500298798084259,0.8161337375640869,0.8289175033569336,0.7957848906517029,0.932856559753418
,,,,,,,,
