batch_size,epochs,fl_filter,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
8,45,8,3,0.5397362145829069,4,0.00027161248380489644,11,0.6674773097038269,0.625,0.6218487620353699,0.6166666746139526,0.8749825954437256
8,14,8,2,0.4814310753124656,4,0.00013766673082767357,8,0.7592495679855347,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.8071180582046509
8,14,32,2,0.35511188242942904,5,0.000158230460198629,20,0.7714146375656128,0.6333333253860474,0.6333333253860474,0.6333333253860474,0.8029166460037231
8,44,32,1,0.4206642338174572,5,0.0002518824842703004,17,0.7479418516159058,0.7416666746139526,0.7372881174087524,0.7250000238418579,0.8883854746818542
16,22,32,3,0.3514605117301012,5,0.00010296441505227677,16,0.7976143956184387,0.6071428656578064,0.6071428656578064,0.6071428656578064,0.7959184050559998
8,27,32,1,0.3452055480306345,5,0.0009741225509868818,19,0.7529966831207275,0.6583333611488342,0.6583333611488342,0.6583333611488342,0.8166666626930237
16,10,16,1,0.4198694847812208,5,0.0002891527713267106,11,0.7956176400184631,0.6071428656578064,0.6071428656578064,0.6071428656578064,0.7789381742477417
16,31,32,3,0.6064065302301833,2,0.0004762106652986951,10,1.4391754865646362,0.6339285969734192,0.6339285969734192,0.6339285969734192,0.8764150142669678
16,14,16,3,0.27986479822674426,5,0.00025522839711403797,11,0.7404397130012512,0.6607142686843872,0.6607142686843872,0.6607142686843872,0.8302375674247742
16,48,64,2,0.7014102377666316,4,0.0001460814997880017,12,0.7913389801979065,0.625,0.625,0.625,0.8230229616165161
8,39,8,3,0.7801045929421098,2,0.00038529117082819925,6,0.837938666343689,0.6333333253860474,0.6333333253860474,0.6333333253860474,0.8415799140930176
16,36,16,3,0.20846280475628065,3,0.0002213673612285682,14,0.5505856275558472,0.8035714030265808,0.8035714030265808,0.8035714030265808,0.9272161722183228
8,38,8,3,0.21681091086214274,3,0.00020823791235328911,15,0.5465671420097351,0.7666666507720947,0.7796609997749329,0.7666666507720947,0.9157291650772095
16,36,16,3,0.20083236170212182,3,0.00021048075890794298,15,0.571489155292511,0.7767857313156128,0.7909091114997864,0.7767857313156128,0.919762372970581
8,37,64,2,0.20824774920051084,3,0.00020352636565702545,14,0.7286825776100159,0.7833333611488342,0.7815126180648804,0.7749999761581421,0.913194477558136
16,30,16,3,0.2658205520532206,3,0.00040986940919724606,14,0.5832723379135132,0.7678571343421936,0.7870370149612427,0.7589285969734192,0.9092394113540649
