batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
8,15,8,3,1,0.5,2,0.0001,5,0.8060951828956604,0.585106372833252,0.585106372833252,0.585106372833252,0.8011473417282104
8,15,8,3,1,0.5,3,0.0001,5,0.7868098020553589,0.582446813583374,0.582446813583374,0.582446813583374,0.808436393737793
8,15,16,3,1,0.5,2,0.0001,5,0.780083417892456,0.5877659320831299,0.5877659320831299,0.5877659320831299,0.847928524017334
8,15,16,3,1,0.5,3,0.0001,5,0.6081421971321106,0.7845744490623474,0.788203775882721,0.7819148898124695,0.9125894904136658
8,20,8,3,1,0.5,2,0.0001,5,0.7177029252052307,0.667553186416626,0.6720867156982422,0.6595744490623474,0.874320924282074
8,20,8,3,1,0.5,3,0.0001,5,0.6768468022346497,0.6941489577293396,0.697050929069519,0.6914893388748169,0.8809257745742798
8,20,16,3,1,0.5,2,0.0001,5,0.6251060962677002,0.7313829660415649,0.7371273636817932,0.7234042286872864,0.8993817567825317
8,20,16,3,1,0.5,3,0.0001,5,0.615571916103363,0.7739361524581909,0.7739361524581909,0.7739361524581909,0.9174771904945374
16,15,8,3,1,0.5,2,0.0001,5,0.7906015515327454,0.58423912525177,0.58423912525177,0.58423912525177,0.8047170639038086
16,15,8,3,1,0.5,3,0.0001,5,0.7199676632881165,0.6739130616188049,0.673130214214325,0.6603260636329651,0.8746658563613892
16,15,16,3,1,0.5,2,0.0001,5,0.7972946166992188,0.58423912525177,0.58423912525177,0.58423912525177,0.8476119637489319
16,15,16,3,1,0.5,3,0.0001,5,0.6303781867027283,0.77173912525177,0.7762430906295776,0.7635869383811951,0.9104848504066467
16,20,8,3,1,0.5,2,0.0001,5,0.658714771270752,0.77173912525177,0.780281662940979,0.7527173757553101,0.9070308804512024
16,20,8,3,1,0.5,3,0.0001,5,0.667599618434906,0.6875,0.6952908635139465,0.6820651888847351,0.8830857276916504
16,20,16,3,1,0.5,2,0.0001,5,0.5857023000717163,0.7961956262588501,0.7994505763053894,0.79076087474823,0.9198868274688721
16,20,16,3,1,0.5,3,0.0001,5,0.5616488456726074,0.77173912525177,0.785515308380127,0.7663043737411499,0.9158273935317993
