batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
8,20,8,3,1,0.5,3,0.0001,10,0.7490501403808594,0.6333333253860474,0.6333333253860474,0.6333333253860474,0.8785937428474426
8,20,8,3,1,0.5,4,0.0001,10,0.766491174697876,0.625,0.625,0.625,0.8699826002120972
8,20,8,3,1,0.5,3,0.001,10,0.5540147423744202,0.7916666865348816,0.7899159789085388,0.7833333611488342,0.9179861545562744
8,20,8,3,1,0.5,4,0.001,10,0.5999392867088318,0.7416666746139526,0.752212405204773,0.7083333134651184,0.8996701836585999
8,20,16,3,1,0.5,3,0.0001,10,0.5465195178985596,0.8166666626930237,0.8166666626930237,0.8166666626930237,0.921579897403717
8,20,16,3,1,0.5,4,0.0001,10,0.7700348496437073,0.625,0.625,0.625,0.8664062023162842
8,20,16,3,1,0.5,3,0.001,10,0.625281572341919,0.7666666507720947,0.7666666507720947,0.7666666507720947,0.9173263907432556
8,20,16,3,1,0.5,4,0.001,10,0.7811606526374817,0.625,0.625,0.625,0.8313888907432556
8,20,32,3,1,0.5,3,0.0001,10,0.5375204682350159,0.7833333611488342,0.7899159789085388,0.7833333611488342,0.9183680415153503
8,20,32,3,1,0.5,4,0.0001,10,0.5817901492118835,0.7416666746139526,0.7739130258560181,0.7416666746139526,0.90625
8,20,32,3,1,0.5,3,0.001,10,0.7409078478813171,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.8460416793823242
8,20,32,3,1,0.5,4,0.001,10,0.7783409953117371,0.6416666507720947,0.6416666507720947,0.6416666507720947,0.8041666746139526
8,30,8,3,1,0.5,3,0.0001,10,0.6815693974494934,0.6333333253860474,0.6333333253860474,0.6333333253860474,0.8805903196334839
8,30,8,3,1,0.5,4,0.0001,10,0.7695645093917847,0.625,0.625,0.625,0.8589929938316345
8,30,8,3,1,0.5,3,0.001,10,0.5690034031867981,0.7916666865348816,0.800000011920929,0.7666666507720947,0.9103819131851196
8,30,8,3,1,0.5,4,0.001,10,0.778367280960083,0.6333333253860474,0.6333333253860474,0.6333333253860474,0.8007638454437256
8,30,16,3,1,0.5,3,0.0001,10,0.7421348690986633,0.6416666507720947,0.6416666507720947,0.6416666507720947,0.886631965637207
8,30,16,3,1,0.5,4,0.0001,10,0.6186456084251404,0.7416666746139526,0.752136766910553,0.7333333492279053,0.906371533870697
8,30,16,3,1,0.5,3,0.001,10,0.7998016476631165,0.7833333611488342,0.7833333611488342,0.7833333611488342,0.9068923592567444
