batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
16,10,16,3,3,0.5149783493147889,5,0.0005013291741483852,20,0.9501100778579712,0.5625,0.5625,0.5625,0.71484375
16,10,16,3,1,0.3424870336132243,2,0.00011394003546076757,5,1.0003396272659302,0.5625,0.5625,0.5625,0.7060546875
8,10,16,3,1,0.24210083719236863,3,0.00025913947001699155,5,1.1320714950561523,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7330728769302368
8,30,32,3,3,0.22143826822443974,3,0.0003885044358267043,10,1.4599308967590332,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7469618320465088
16,50,64,3,3,0.12723261491409865,2,0.00010829936757812033,10,0.8990879058837891,0.5,0.5,0.5,0.7109375
16,20,64,3,3,0.27671406968412426,5,0.00023348352385270222,20,0.8640263676643372,0.5625,0.5625,0.5625,0.767578125
16,50,8,3,1,0.1955290858065404,3,0.00021586200403818725,5,0.8304846286773682,0.625,0.625,0.625,0.7939453125
16,10,8,3,3,0.6708613935236334,2,0.00018792197953076273,20,1.094665288925171,0.4375,0.0,0.0,0.6884765625
8,40,8,3,2,0.396802175175879,4,0.0004957732235343822,5,0.8751309514045715,0.625,0.625,0.625,0.7595486640930176
16,20,16,3,2,0.3746250796251077,3,0.00017625108784299562,10,0.9150329828262329,0.5625,0.5625,0.5625,0.75
8,10,8,3,1,0.15278806214706925,3,0.00013285671965908904,5,0.8981572985649109,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7421875
16,30,16,3,2,0.5869176234627055,5,0.0003723262539849266,20,0.8323496580123901,0.625,0.625,0.625,0.798828125
16,20,32,3,2,0.572726813322966,3,0.00019070488779049258,10,1.1133692264556885,0.4375,0.4375,0.4375,0.6630859375
8,50,64,3,1,0.1035783711634561,4,0.000295779551938807,15,0.9219732880592346,0.5416666865348816,0.5416666865348816,0.5416666865348816,0.7465278506278992
16,20,64,3,2,0.23847050191106245,4,0.0006014336156288252,10,0.9313830137252808,0.5,0.5,0.5,0.7314453125
8,40,64,3,2,0.6842579950916912,5,0.00011267655845597296,15,0.8248264789581299,0.5833333134651184,0.5833333134651184,0.5833333134651184,0.7634548544883728
