batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
16,10,64,3,3,0.282928783566949,2,0.0009483006001422207,5,0.7182310223579407,0.7441860437393188,0.7441520690917969,0.7398256063461304,0.902741551399231
32,30,8,3,2,0.6110543116207767,2,0.00016147631910855119,15,0.7624898552894592,0.6555232405662537,0.6559766530990601,0.6540697813034058,0.8427466154098511
64,50,32,3,2,0.6562734840040726,2,0.000611406772147288,5,0.7820970416069031,0.6116071343421936,0.62109375,0.5915178656578064,0.798934817314148
64,10,64,3,3,0.598523158743751,5,0.00013016517002841427,15,0.7427574992179871,0.616815447807312,0.6187594532966614,0.6086309552192688,0.8395244479179382
,,,,
8,10,32,3,3,0.4286357644935195,5,0.00032430163545301403,15,0.7484492063522339,0.6555232405662537,0.655701756477356,0.6518895626068115,0.8392066955566406
16,50,32,3,2,0.6760712502326925,4,0.00044169566375475605,5,0.6439239978790283,0.7303779125213623,0.7346786260604858,0.7143895626068115,0.8874825239181519
32,30,16,3,1,0.6282223520981822,4,0.0002115762161105766,15,0.47785496711730957,0.8263081312179565,0.8278388381004333,0.8212209343910217,0.9397415518760681
8,10,8,3,3,0.14738922721420408,2,0.0004531196475426205,10,0.6350784301757812,0.7841569781303406,0.7859751582145691,0.7819767594337463,0.9164928793907166
64,50,8,3,2,0.46533629007219346,2,0.0005880200247262039,15,0.48832467198371887,0.8139880895614624,0.8203184008598328,0.805059552192688,0.9370095729827881
16,30,16,3,3,0.565076347375684,2,0.00023329673308574982,10,0.7637313008308411,0.6729651093482971,0.6734545230865479,0.6729651093482971,0.8610988855361938
32,10,16,3,1,0.14150448199355659,2,0.00016882963769457367,20,0.47663524746894836,0.8125,0.8152492642402649,0.8081395626068115,0.9394124150276184
64,10,16,3,1,0.6770208561487693,3,0.0001740121180954595,15,0.5945542454719543,0.7596726417541504,0.7660550475120544,0.7455357313156128,0.9042117595672607
16,40,64,3,3,0.438232713480755,4,0.00010328865066477818,10,0.48836156725883484,0.8190407156944275,0.8215069770812988,0.8161337375640869,0.937548816204071
32,30,16,3,3,0.37959663831801604,5,0.00031179620555202395,15,0.5152041912078857,0.8154069781303406,0.8278750777244568,0.7899709343910217,0.9281298518180847
32,20,32,3,3,0.15329280155294017,3,0.0001917291402261345,15,0.44904154539108276,0.8415697813034058,0.8430656790733337,0.8393895626068115,0.9497634172439575
,,,,,,,,,
