batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
8,50,16,3,2,0.2471178442875044,4,0.0005713288800268823,15,0.6552509665489197,0.7833333611488342,0.7863247990608215,0.7666666507720947,0.8968923687934875
16,10,64,3,1,0.6370263079771037,5,0.0004435449972230402,5,0.7712575197219849,0.6428571343421936,0.6428571343421936,0.6428571343421936,0.8035714626312256
16,20,32,3,2,0.5715320447837035,5,0.0007272120170128852,5,0.7785945534706116,0.6339285969734192,0.6339285969734192,0.6339285969734192,0.7991071343421936
16,10,16,3,1,0.387978975532404,4,0.0004119149140841609,20,0.7070589065551758,0.6339285969734192,0.6339285969734192,0.6339285969734192,0.8844467997550964
16,30,64,3,3,0.6083398474781935,5,0.0009768355017695746,10,0.7685461640357971,0.6428571343421936,0.6428571343421936,0.6428571343421936,0.8035714626312256
16,50,8,3,1,0.20363939077154508,3,0.0006456161420276974,20,0.7262076139450073,0.7678571343421936,0.7678571343421936,0.7678571343421936,0.8976602554321289
8,20,32,3,3,0.3027877797194834,3,0.0002448688877948089,5,0.7913258671760559,0.625,0.625,0.625,0.8674131631851196
32,20,16,3,3,0.2922733290744119,5,0.0002769781003413927,15,0.7860491275787354,0.65625,0.65625,0.65625,0.8121744394302368
8,20,16,3,3,0.6237965677712677,2,0.0008842265043371256,20,0.7568376064300537,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.8492881655693054
16,20,32,3,1,0.19585861009878705,4,0.0008358819174686509,10,0.7648109197616577,0.6517857313156128,0.6517857313156128,0.6517857313156128,0.8125
64,10,16,3,1,0.12643814661957542,2,0.00021877863739988684,15,0.7349892854690552,0.671875,0.6896551847457886,0.625,0.86895751953125
32,40,16,3,1,0.22201095407463792,4,0.00012655723813416174,10,0.7688097953796387,0.6145833134651184,0.6145833134651184,0.6145833134651184,0.8657768964767456
8,30,16,3,2,0.16983212121932656,3,0.0005245805156455053,20,0.5248052477836609,0.7833333611488342,0.8017241358757019,0.7749999761581421,0.9247048497200012
64,30,64,3,1,0.41688403628260606,4,0.0008275738545049921,10,0.7882027626037598,0.640625,0.640625,0.640625,0.8046875
64,30,32,3,3,0.571848466965532,2,0.0007861305615074565,20,0.9904581308364868,0.65625,0.65625,0.65625,0.89605712890625
64,30,8,3,2,0.6924044551061249,5,0.00013169795612101522,15,0.8304068446159363,0.59375,0.59375,0.59375,0.776611328125
