batch_size;epochs;fl_filter;ol_units;n_dropout;drop_value;n_layer;lr;patience;val_loss;val_accuracy;val_precision;val_recall;val_auc
16;30;32;3;1;0.5553914131987182;3;0.0007328865292762945;10;1.377251148223877;0.5625;0.5625;0.5625;0.705078125
8;20;8;3;1;0.24442286528298363;4;0.00013504774016954535;15;0.8622438311576843;0.625;0.625;0.625;0.7986111044883728
8;20;64;3;3;0.6545283401091436;5;0.00021432480970226216;5;0.9332013726234436;0.5833333134651184;0.5833333134651184;0.5833333134651184;0.7690972089767456
8;50;32;3;3;0.1949269188347993;4;0.00020889895808020906;15;0.7881850600242615;0.625;0.625;0.625;0.797743022441864
16;30;8;3;2;0.3215801244855022;5;0.0008399865439341765;10;1.0787642002105713;0.4375;0.4375;0.4375;0.662109375
8;50;64;3;2;0.5636291453601238;4;0.0007408977411281311;10;0.8799312710762024;0.625;0.625;0.625;0.7708333730697632
8;30;16;3;1;0.32331857318191193;4;0.0007246461298716923;10;0.9095186591148376;0.5416666865348816;0.5416666865348816;0.5416666865348816;0.7408854365348816
16;10;64;3;1;0.2712682793805624;5;0.0005033828636355213;15;0.7067667245864868;0.75;0.75;0.75;0.90625
8;30;16;3;1;0.34655319429285236;5;0.00023502426682883465;20;0.814079761505127;0.5833333134651184;0.5833333134651184;0.5833333134651184;0.7821180820465088
8;10;16;3;3;0.2867750535142534;2;0.00018193888892296272;10;0.8385990262031555;0.5833333134651184;0.5833333134651184;0.5833333134651184;0.7721353769302368
16;30;8;3;2;0.39493444596544125;5;0.0005340843151596799;10;0.8326810598373413;0.625;0.625;0.625;0.791015625
8;30;16;3;3;0.1077952810387579;2;0.0006035548210618245;10;0.941491425037384;0.5;0.523809552192688;0.4583333432674408;0.7057291865348816
16;10;64;3;1;0.19605906604734907;4;0.0003411869704478845;10;0.867477297782898;0.75;0.0;0.0;0.8681640625
8;40;64;3;3;0.5609650967059907;3;0.00018250736965245672;10;0.9388734698295593;0.5416666865348816;0.5416666865348816;0.5416666865348816;0.734375
8;50;32;3;1;0.117752524242089;2;0.00014302105099522802;5;0.923107922077179;0.625;0.625;0.625;0.7712673544883728
8;30;64;3;1;0.3923342313676267;5;0.00042038617660557307;15;0.8246657252311707;0.625;0.625;0.625;0.794704794883728
16;10;32;3;3;0.6082067367849275;4;0.0007457678616709428;15;0.8605966567993164;0.625;0.625;0.625;0.7744140625
16;50;64;3;3;0.6005292534395825;4;0.0007714138169189598;15;0.8763160109519958;0.5625;0.5625;0.5625;0.7412109375
8;30;16;3;1;0.27919026733163393;2;0.0002515071537376179;10;0.9224268794059753;0.5416666865348816;0.5416666865348816;0.5416666865348816;0.6948784589767456
8;20;8;3;3;0.39905394182639997;4;0.0009652435511067955;15;0.8887529373168945;0.5833333134651184;0.5833333134651184;0.5833333134651184;0.7482638359069824
