batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
16,40,16,3,1,0.1232683287974032,5,0.00011512741028201944,20,0.5685734748840332,0.782608687877655,0.7823691368103027,0.77173912525177,0.9129456281661987
32,50,32,3,2,0.5306101573348322,3,0.00021602181109414394,20,0.5740753412246704,0.7897727489471436,0.7920227646827698,0.7897727489471436,0.9198532700538635
64,40,8,3,3,0.21129263301439366,5,0.00012668878581083564,15,0.7762861847877502,0.609375,0.6173633337020874,0.6000000238418579,0.8170435428619385
8,50,64,3,2,0.10673455328082904,4,0.00010349262670077722,15,0.5536034107208252,0.8005319237709045,0.8135135173797607,0.8005319237709045,0.9290313720703125
32,10,16,3,2,0.10781972668526224,4,0.0005023098035707356,20,0.6822397708892822,0.6960227489471436,0.7164633870124817,0.6676136255264282,0.866689145565033
16,40,32,3,3,0.3920910033293674,5,0.00013934598893601433,10,0.762551486492157,0.6304348111152649,0.6342182755470276,0.58423912525177,0.8344864845275879
32,10,32,3,1,0.5661374710196708,2,0.0001263402427286825,15,0.6760873198509216,0.7272727489471436,0.733137845993042,0.7102272510528564,0.8973761796951294
8,50,32,3,3,0.5282100382082352,5,0.00016015890197296236,5,0.7301120162010193,0.686170220375061,0.6890756487846375,0.6542553305625916,0.8508091568946838
64,10,16,3,1,0.31580839533698146,4,0.0007817372625202431,5,0.7111321687698364,0.699999988079071,0.7166666388511658,0.671875,0.8821557760238647
64,10,64,3,3,0.6043406604546648,2,0.000493659313874993,20,0.8585262298583984,0.5874999761581421,0.5874999761581421,0.5874999761581421,0.8098364472389221
16,20,16,3,2,0.459180494001147,4,0.0006865641919342124,10,0.7834044694900513,0.6222826242446899,0.634441077709198,0.570652186870575,0.8042444586753845
16,50,16,3,1,0.14202498676933664,3,0.0006408201122072368,10,0.6298314332962036,0.77173912525177,0.7711171507835388,0.76902174949646,0.9177435040473938
16,10,16,3,3,0.6729880852629612,4,0.000136489334873988,15,0.785409152507782,0.58423912525177,0.58423912525177,0.58423912525177,0.7994927167892456
16,50,16,3,2,0.24653027077012124,3,0.00010105476377296646,10,0.5419375896453857,0.7989130616188049,0.8005464673042297,0.7961956262588501,0.931171715259552
32,20,8,3,2,0.6430320930487445,4,0.0009068165616641429,20,0.7582126259803772,0.6647727489471436,0.6835442781448364,0.6136363744735718,0.8383123874664307
