batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
32,40,64,3,2,0.3089895666468489,4,0.00019087975208392823,6,0.41351646184921265,0.8626453280448914,0.8704392910003662,0.8495639562606812,0.9556875228881836
32,10,8,3,1,0.5351970845335667,5,0.000961362101175481,6,0.600821852684021,0.7383720874786377,0.7435328960418701,0.7311046719551086,0.9032925963401794
8,50,32,3,3,0.6035411000847517,3,0.00032552686799870533,6,0.8149917721748352,0.6235465407371521,0.623272716999054,0.6228197813034058,0.8049669861793518
8,10,32,3,1,0.398384580945321,3,0.0004261081525373538,6,0.5444138646125793,0.7841569781303406,0.8071146011352539,0.7420058250427246,0.923247754573822
8,10,16,3,1,0.5786196084613457,3,0.000536359556122187,6,0.5931392312049866,0.7587209343910217,0.7623616456985474,0.7507267594337463,0.9083099365234375
64,50,64,3,2,0.4919617947879994,2,0.0005815305395050373,6,0.4629612863063812,0.8221726417541504,0.8286792635917664,0.8169642686843872,0.944808840751648
16,50,64,3,2,0.3397166049556462,3,0.00033948151267437386,6,0.5140742063522339,0.7928779125213623,0.7992619872093201,0.7870639562606812,0.9312179088592529
64,30,8,3,2,0.6624313901705693,5,0.000408921915329032,6,0.5422566533088684,0.789434552192688,0.7989255785942078,0.7745535969734192,0.920325756072998
64,40,16,3,3,0.6677687304750337,2,0.00020405793681923612,6,0.7870872020721436,0.5840773582458496,0.5840773582458496,0.5840773582458496,0.7952500581741333
16,20,32,3,3,0.36183523788935906,5,0.00021433379684724786,6,0.5283150672912598,0.788517415523529,0.7940740585327148,0.7790697813034058,0.9273849129676819
16,20,8,3,2,0.34621543677135724,4,0.0003136595128109966,6,0.6026937365531921,0.7492732405662537,0.7674961090087891,0.7172965407371521,0.9016154408454895
16,40,64,3,1,0.3879580589162154,4,0.0005529292418484838,6,0.5423837900161743,0.8183139562606812,0.8273809552192688,0.8081395626068115,0.9327470064163208
8,30,16,3,2,0.6923904881460318,2,0.0005464504111357064,6,0.8228937983512878,0.5850290656089783,0.5850290656089783,0.5850290656089783,0.7768895030021667
32,10,32,3,1,0.34842236219658373,3,0.00041297232528483244,6,0.537391722202301,0.7805232405662537,0.7834067344665527,0.7754360437393188,0.9240205883979797
8,30,32,3,3,0.634287996957563,2,0.000498735385759082,6,0.8456593155860901,0.5850290656089783,0.5850290656089783,0.5850290656089783,0.7768895030021667
