batch_size,epochs,fl_filter,ol_units,n_dropout,drop_value,n_layer,lr,patience,val_loss,val_accuracy,val_precision,val_recall,val_auc
32,30,64,3,2,0.34234674669546195,2,0.00022091651927566106,5,0.5537180304527283,0.7604166865348816,0.7684210538864136,0.7604166865348816,0.922607421875
8,50,16,3,3,0.33034370399685087,3,0.0008914359069991299,5,0.801337480545044,0.625,0.625,0.625,0.817152738571167
64,20,8,3,1,0.6547064565981056,5,0.0001772622697152267,15,0.7468725442886353,0.59375,0.59375,0.59375,0.795166015625
8,50,32,3,2,0.10464877884893382,4,0.0005176498241631564,10,0.7686606049537659,0.7666666507720947,0.7731092572212219,0.7666666507720947,0.8787674307823181
32,10,16,3,1,0.16099449846310282,2,0.00016375310051705208,15,0.6178811192512512,0.6666666865348816,0.7241379022598267,0.65625,0.906602680683136
8,30,32,3,1,0.6871247828660472,2,0.0008597172736126812,10,0.694868803024292,0.7833333611488342,0.7815126180648804,0.7749999761581421,0.9003645181655884
64,10,8,3,3,0.21680221105082648,4,0.00010591126492859701,10,0.7375857830047607,0.6875,0.6875,0.6875,0.8411865234375
16,40,32,3,3,0.370547934103571,5,0.0008018973249475658,20,0.838093638420105,0.6160714030265808,0.6160714030265808,0.6160714030265808,0.8385283350944519
8,30,64,3,3,0.3731366810394413,3,0.00011981011436767055,5,0.7051241397857666,0.625,0.625,0.625,0.8725000023841858
8,10,16,3,3,0.5482533153922837,3,0.0002277166303788361,15,0.7682708501815796,0.6416666507720947,0.6416666507720947,0.6416666507720947,0.8370139002799988
8,10,64,3,2,0.20447330122999866,4,0.0002840612235701859,20,0.778030276298523,0.625,0.625,0.625,0.8116840124130249
16,10,64,3,1,0.40058104179280074,5,0.00031770226719502603,20,0.8050020933151245,0.625,0.625,0.625,0.7946428656578064
32,40,64,3,2,0.6966359561451287,2,0.00012728662034495642,20,0.7185509204864502,0.6354166865348816,0.6354166865348816,0.6354166865348816,0.87939453125
16,20,32,3,3,0.5889822430358611,2,0.0005919206150355097,10,0.7160761952400208,0.6428571343421936,0.6428571343421936,0.6428571343421936,0.8889310359954834
64,30,64,3,3,0.21446175169669163,4,0.00025722237667556925,15,0.8206578493118286,0.625,0.625,0.625,0.86920166015625
8,20,16,3,3,0.2867509917715795,5,0.00010160438871488583,15,0.7694244384765625,0.6416666507720947,0.6416666507720947,0.6416666507720947,0.805347204208374
